31-01-2022 11:38,"b'Omicron has posed its threats on us. We must protect ourselves once again from these deadly viruses. So, Mask-up Ra\xe2\x80\xa6 https://t.co/DrygSHtZng'",b'RajasthanReveal',"b'Jaipur, India'"
31-01-2022 11:14,b'Protection from the virus- Mask Distribution by DSS Volunteers following the pious teachings of Saint Dr.\xe2\x80\xa6 https://t.co/j8uXW4PRmA',b'DSSNewsUpdates',"b'Sirsa, India'"
31-01-2022 11:10,b'@Yveerangnayen @NITIAayog Youth veerangnayen team your efforts to spread awareness about Corona prevention really c\xe2\x80\xa6 https://t.co/U40YNQVYVT',b'Lalitapandit8',"b'New Delhi, India'"
31-01-2022 10:40,b'@Yveerangnayen @NITIAayog #AwarenessCampaigns \n#COVIDAppropriateBehaviour \n#COVID\n#MaskUp\n#MaskUpIndia Women are pl\xe2\x80\xa6 https://t.co/4TVD3iSnz9',b'EktaKhu27506519',"b'sirsa, India'"
31-01-2022 10:21,b'#Wuhan is updating their virus \xf0\x9f\xa6\xa0 variants literally how Apple has its software updates! #NeoCov it is now \xf0\x9f\x91\xb9\xe2\x80\xa6 https://t.co/YhWxr8XRdf',b'GMGokulOfficial',"b'Kumbakonam, India'"
31-01-2022 09:28,b'@Yveerangnayen @NITIAayog #AwarenessCampaigns \n#COVIDAppropriateBehaviour \n#COVID\n#MaskUp\n#MaskUpIndia\nGreat humanity work \xf0\x9f\x91\x8d',b'Chawla17Monica',"b'New Delhi, India'"
31-01-2022 08:15,b'In lighter vein\xf0\x9f\x98\x8a\nEven the Captcha ( Completely Automated Public Turing test to tell Computers and Humans Apart ) is\xe2\x80\xa6 https://t.co/k1oEEFzHtQ',b'minisharma018',"b'Ranchi, India                 '"
31-01-2022 07:41,b'Say no to #MaskUp #Masks! https://t.co/G9uQ5Xy7dj',b'jbsaswini',"b'Jajpur, Odisha. India'"
31-01-2022 07:30,b'@Yveerangnayen @NITIAayog Good Job \xf0\x9f\x91\x8d#AwarenessCampaigns \n#COVIDAppropriateBehaviour \n#COVID\n#MaskUp\n#MaskUpIndia',b'Shruti1669',b'India'
31-01-2022 06:53,b'@Yveerangnayen @NITIAayog #AwarenessCampaigns \n#COVIDAppropriateBehaviour \n#COVID\n#MaskUp\n#MaskUpIndia\nCovid vaccin\xe2\x80\xa6 https://t.co/CoFkjZLFgc',b'RanjeetaRani17',"b'Mawana, India'"
31-01-2022 06:35,"b'#MiddayLifestyle | \n\n#Masks still save lives: As #thirdwave begins, a guide on why and how to #maskup \n\nVia: Nascim\xe2\x80\xa6 https://t.co/0emF1wxUyd'",b'mid_day',"b'Mumbai, India'"
31-01-2022 06:10,b'Precautions OK please.\n#MaskUp #Sanitizer #StayHome https://t.co/hIayvEuIK8',b'HelpNowIndia',"b'Mumbai, India'"
31-01-2022 05:56,"b'God balances our lives by giving us enough blessings to keep us happy, enough burdens to keep us humble and enough\xe2\x80\xa6 https://t.co/Fx0QV5AOyb'",b'harrynaik_IND',b'India'
31-01-2022 05:26,b'Check out what these Kolkatans think about the pandemic and masks. #CovidProtocol #Masks #MaskUp #MaskUpKolkata\xe2\x80\xa6 https://t.co/XjC34GrZaB',b'TT_My_Kolkata',"b'Kolkata, India'"
31-01-2022 02:08,"b""#DYK: According to the @CDC, it's essential to wear your mask correctly to ensure that you get the full protection\xe2\x80\xa6 https://t.co/i6lBi0Qw1v""",b'OPPIIndia',b'India'
31-01-2022 01:20,b'Vaccines and COVID tests are available through the University Health Center. Keep your vaccine records up to date a\xe2\x80\xa6 https://t.co/8Lup87tywk',b'USI_LiberalArts',b'University of Southern Indiana'
30-01-2022 16:11,b'#IndiaFightsCorona #Rajasthan 30th Jan 22 #COVID19 6pm Bulletin\n\nPlz Keep #MaskUp &amp; #StaySafe\n\n10061 Positive Cases\xe2\x80\xa6 https://t.co/ujoiOkAHoU',b'JaipurExplore',"b'Jaipur, India'"
30-01-2022 14:30,b'Status of Covid-19 cases 30.01.2022 in #Madurai Corporation Areas.\n#COVID19 #MaskUp #MaduraiCity https://t.co/86NBjujqK8',b'city_madurai',"b'Madurai, TamilNadu, India'"
